Sección;ID Sección;SKU Sección;SKU Name Sección;Nombre;Precio;SKU;SKU Name;Descripción;Imagen;ID;GTIN;Stock;Global Catalog ID;Indice
Café en grano;5752410;;;Cafe Descafeinado Colombia 350 Grs;21000.0;;;Café Descafeinado Colombia tueste medio arábico.;https://images.deliveryhero.io/image/pedidosya/products/7c2d0fbb-2237-4d36-a0c0-56e27b8770a4.jpeg;109620446;;;;4
Sándwich pastelería;5744450;;;Kuchen Arandano-Frambuesa Mediando TANTE LLEVI;17800.0;;;Kuchen Mediano TANTE LLEVI, sabor Arándano Frambuesa. Strusel o Cremas. segun disponibilidad foto referencial.;https://images.deliveryhero.io/image/pedidosya/products/f40a78dc-7bdb-434a-abf1-aaa01af0808a.jpeg;109711002;;;;6
Sándwich pastelería;5744450;;;Kuchen Mango-Durazno Mediano TANTE LLEVI;17800.0;;;Kuchen TANTE LLEVI mediano Sabor Mango Durazno. Strusel o Cremas. segun disponibilidad. foto referencial.;https://images.deliveryhero.io/image/pedidosya/products/3c4e91ad-98ee-4d62-89ed-1d91c9d97ee3.jpeg;109711014;;;;7
Donut horneadas;6053860;;;Donut Rellena Crema Pastelera;2650.0;;;Donut rellena con suave crema pastelera horneada.;https://images.deliveryhero.io/image/pedidosya/products/a3045d6f-d154-41fb-8ed6-eebacd3d3bed.jpeg;109916639;;;;3
Donut horneadas;6053860;;;Donut Rellena Chocolate-Avellana;2650.0;;;Masa esponjosa rellena con abundante pasta de cacao y avellanas Horneadas.;https://images.deliveryhero.io/image/pedidosya/products/20eaa6c2-3628-44db-ab09-ab0388c7ee27.jpeg;109916667;;;;4
Donut horneadas;6053860;;;Donut Rellena Frambuesa;2650.0;;;Rellena con dulce de frambuesa y decorada con glaseado y chips de frambuesa. horneadas.;https://images.deliveryhero.io/image/pedidosya/products/fa92cc60-bfd9-4483-8716-a95a94508f38.jpeg;109916672;;;;7
Donut horneadas;6053860;;;Donut Rellena Chocorayas;2650.0;;;Suave cobertura de chocolate blanco y rellena de chocolate y crema de avellanas Horneadas.;https://images.deliveryhero.io/image/pedidosya/products/78c21e6c-f874-4042-9f42-ee9c6bd974bb.jpeg;109917020;;;;5
Donut horneadas;6053860;;;Donut No Rellena Dot The Rocks;2300.0;;;Esponjosa masa de sabor chocolate y cubierta de una gruesa capa de chocolate blanco y chips de chocolate Horneadas.;https://images.deliveryhero.io/image/pedidosya/products/4821ca40-a223-4e80-81a6-5caf1d0f4a0c.jpeg;109917312;;;;2
Sándwich pastelería;5744450;;;Sandwich Miga Jamon Queso;3800.0;;;Sandwich Miga Jamon Queso.;https://images.deliveryhero.io/image/pedidosya/products/6b889c87-0694-44c2-b1f1-ae88c28ed406.jpeg;110531476;;;;2
Sándwich pastelería;5744450;;;Trozo Torta SIN AZUCAR Zanahoria;7900.0;;;Torta Sin Azucar Zanahoria, con alulosa y cubierta con frosting.;https://images.deliveryhero.io/image/pedidosya/products/518da6ba-9bb8-429f-9e48-46fe8c7e8f4d.jpeg;111500918;;;;4
Café en grano;5752410;;;Origen Peru 1 Kilo;35000.0;;;Café grano Peru 1 kilo.;https://images.deliveryhero.io/image/pedidosya/products/6f0090c9-ff93-429b-aa31-eced3f0ee6c1.jpeg;112062139;;;;5
Café en grano;5752410;;;Origen Nicaragua 1 Kilo;38000.0;;;Café grano Nicaragua 1 kilo.;https://images.deliveryhero.io/image/pedidosya/products/4af350f1-9843-4d0a-a475-c8467f3799a9.jpeg;112062145;;;;6
Café en grano;5752410;;;Origen Colombia 1 Kilo;45000.0;;;Café grano Colombia 1 kilo.;https://images.deliveryhero.io/image/pedidosya/products/785ae6e1-fda8-4183-9c10-5febe563ad33.jpeg;112062172;;;;7
Sándwich pastelería;5744450;;;Trozo Kuchen Variedades;5900.0;;;Trozo Kuchen segun disponibilidad TANTE LLEVI. Arandano frambuesa o Manzana. Strusel o Cremas. segun disponibilidad.;https://images.deliveryhero.io/image/pedidosya/products/4a20d07e-f836-4fec-8a40-dfc82f0a2cab.jpeg;112064594;;;;10
Sándwich pastelería;5744450;;;Trozo Torta Pompadour De Plátano;6400.0;;;Combinación de sabrosas hojas de masa con manjar y crema. Conocida tambien como la torta de plátano.;https://images.deliveryhero.io/image/pedidosya/products/732d8963-b221-4205-b94f-6962aa7410f5.jpeg;118854290;;;;5
Sándwich pastelería;5744450;;;Kuchen Manzana-Frambuesa Mediano TANTE LLEVI;17800.0;;;Kuchen TANTELLEVI Mediano Sabor Manzana Frambuesa. Strusel o Cremas. segun disponibilidad. foto referencial.;;120467121;;;;8
Sándwich pastelería;5744450;;;Trozo Kuchen Nuez;4700.0;;;1 trozo de Kuchen de nuez.;https://images.deliveryhero.io/image/pedidosya/products/45757c02-067b-4752-90ca-d99cee329098.jpeg;120964643;;;;11
