Sección;ID Sección;SKU Sección;SKU Name Sección;Nombre;Precio;SKU;SKU Name;Descripción;Imagen;ID;GTIN;Stock;Global Catalog ID;Indice
Sección Bebidas;977191;;;Bebida Coca Cola Sin Azúcar 590 Ml;2500.0;;;Medio.;https://images.deliveryhero.io/image/pedidosya/products/0cab0f32-8f8b-4a78-ab1c-7e3a007404fc.jpg;25582703;;;;21
Sección Bebidas;977191;;;Bebida Lata Coca Cola 350 Ml;2200.0;;;Lata.;https://images.deliveryhero.io/image/pedidosya/products/6184d1cf-177e-483b-88ee-172d757a40ea.jpg;26456688;;;;22
Sección Bebidas;977191;;;Bebida Coca Cola Energy 220Ml;1200.0;;;Latita 220cc coca cola energy, sabor guaraná, con un toque de cocacola, zero azucar.;https://images.deliveryhero.io/image/pedidosya/products/b352c7b8-d50f-4d26-973d-39d17ae6b379.jpg;27245716;;;;23
Sección Bebidas;977191;;;Bebida Sprite 1,5 L;2990.0;;;Sprite litro y medio.;https://images.deliveryhero.io/image/pedidosya/products/91e62f02-519e-4d97-9322-307624d0efe9.jpg;27245722;;;;24
Minutas;977182;;;Chorrillana todas las carnes 3 a 4 personas;18000.0;;;Carne vacuno, pollo, papas fritas, longaniza, salchicha, cebolla frita, huevo frito o revuelto.;;27245883;;;;8
Minutas;977182;;;Chorrillana Ñam 3 a 4 personas;18000.0;;;Carne vacuno, papas fritas, tocino, champiñon, salsa barbacoa, cebolla frita, salchicha, longaniza, huevo frito o revuelto.;;27246041;;;;7
Minutas;977182;;;Chorrillana vegetariana 3 a 4 personas;18000.0;;;Champiñon, papas fritas, cebolla frita, pimentón y huevo frito o revuelto.;https://images.deliveryhero.io/image/pedidosya/products/c9c571b1-e743-4bc8-bbf8-29cbe5c9dfff.jpg;27481736;;;;10
Minutas;977182;;;Aritos de cebolla 10 uni;3700.0;;;;https://images.deliveryhero.io/image/pedidosya/products/ccc70ca9-22ba-474e-9b45-c902c9b3d718.jpg;48699315;;;;11
Completos medianos;976939;;;Papapleto mediano;4400.0;;;Tomate, palta, mayo casera, en vez de salchicha van papas fritas.;;48699317;;;;12
Completos grandes;977084;;;Completo vegetariano grande;5900.0;;;Tomate, palta, mayo casera, en vez de salchicha, va champiñón.;https://images.deliveryhero.io/image/pedidosya/products/d859d2dd-6ba7-4ddf-b2c1-aff32eb92247.jpg;48699749;;;;12
Completos medianos;976939;;;Completo vegetariano mediano;4300.0;;;Tomate, palta, mayo casera. En vez de ponerse la salchicha, va champiñón.;;48699769;;;;13
Minutas;977182;;;Aritos de cebolla 5 uni;2000.0;;;;https://images.deliveryhero.io/image/pedidosya/products/31a4fedf-242e-4555-9ed3-7220acac77d1.jpg;48700597;;;;12
Completos grandes;977084;;;Papapleto grande;5300.0;;;Tomate, palta, mayo casera, en vez de ir la salchicha, van las papas fritas.;https://images.deliveryhero.io/image/pedidosya/products/48704b6a-2773-4050-8a3d-888983d2d299.jpg;48700925;;;;11
Promos Insuperables;3116790;;;Combo 4;7900.0;;;Sándwich de churrasco italiano mediano + papas fritas + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/e84e7030-7533-47ed-9098-26e2ea92844e.jpg;53795055;;;;1
Promos Insuperables;3116790;;;Completo grande italiano;2900.0;;;Carne a elección, tomate, palta y mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/20fa3262-2fd4-43e5-a8b8-cb2bc5b31303.jpg;53795062;;;;2
Promos Insuperables;3116790;;;Chorrillana todas las carnes 3 a 4 personas;15500.0;;;Carne vacuno, pollo, papas fritas, longaniza, salchicha, cebolla frita, huevo frito o revuelto.;;53795067;;;;3
MARATÓN DE PEDIDOS;3741035;;;Sándwich grande italiano;8100.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/ecec6e15-44a6-429b-87c6-e6e8872df48b.jpg;65988450;;;;1
MARATÓN DE PEDIDOS;3741035;;;Combo 2;4200.0;;;Completo o italiano grande + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/6a89e489-7dd7-43b9-bfeb-45b49bad632c.jpg;65988451;;;;2
Completos grandes;977084;;;Completo grande súper ñam;6200.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;;77660730;;;;13
Hamburguesas;977173;;;Hamburguesa súper Ñam;6900.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;;77660785;;;;12
Sandwich individual;4217517;;;Churrasco italiano indiv;5600.0;;;Carne churrasco, tomate, palta, mayonesa casera.;;77660966;;;;1
Sandwich individual;4217517;;;Churrasco completo indiv;5600.0;;;Churrasco, tomate, palta, mayo casera, chucrut, americana.;https://images.deliveryhero.io/image/pedidosya/products/fbf204e3-d590-4b50-ab5f-f92df77e25be.jpg;77661113;;;;2
Sandwich individual;4217517;;;Churrasco chacarero indiv;5600.0;;;Churrasco, poroto verde, ají verde a elección, tomate, mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/eefff389-4c7a-4b9b-aa4d-126312e40fe9.jpg;77661306;;;;3
Sandwich individual;4217517;;;Churrasco gringo indiv;6990.0;;;Churrasco, tomate, pepinillo, lechuga, cebolla y mayonesa casera.;;77661655;;;;6
Sandwich individual;4217517;;;Churrasco brasilero indiv;6990.0;;;Churrasco, queso gauda, palta.;;77661980;;;;7
Sandwich individual;4217517;;;Churrasco rodeo indiv;6990.0;;;Churrasco, queso gauda, salsa barbacoa, tocino y tomate.;;77662205;;;;4
Sandwich individual;4217517;;;Chuurasco a lo pobre indiv;6990.0;;;Churrasco, huevo, cebolla frita y queso.;;77663412;;;;7
Sandwich individual;4217517;;;Churrasco mexicano indiv;5600.0;;;Churrasco, guacamole y mayonesa casera.;;77664267;;;;8
Sandwich individual;4217517;;;Churrasco luco indiv;6600.0;;;Churrasco, queso gauda.;;77665233;;;;9
Sandwich individual;4217517;;;Churrasco Ñam indiv;7400.0;;;Churrasco, tomate, palta, queso gauda, choclo, mayonesa casera.;;77667093;;;;10
Sandwich individual;4217517;;;Churrasco súper Ñam indiv;7600.0;;;Churrasco, tomate, palta, queso, champiñón, choclo, mayonesa casera, tocino, salsa bbq, cebolla frita.;https://images.deliveryhero.io/image/pedidosya/products/cee6fde0-09de-4434-bfa7-f2378a550c18.jpg;77668751;;;;11
RED HITS 50% OFF V REGIÓN;4649048;;;Completo grande italiano;1950.0;;;Vienesa, tomate, palta y mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/41d081ed-c270-4053-9696-08e98ad554a8.jpg;85923629;;;;1
Golazos de PedidosYa;4796608;;;Chorrillana carne (grande);7665.0;;;Carne, papas fritas, salchicha, longaniza, cebolla frita, huevo frito o revuelto.;https://images.deliveryhero.io/image/pedidosya/products/6e27404e-3f1b-4180-9a44-ee6cdd9aeb60.jpg;87763726;;;;1
Golazos de PedidosYa;4796608;;;Sándwich grande Super Ñam;7630.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;https://images.deliveryhero.io/image/pedidosya/products/12db6883-e735-4296-9b62-dc678df7c633.jpg;87763727;;;;2
Golazos de PedidosYa;4796608;;;Sándwich mediano Super Ñam;5530.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;https://images.deliveryhero.io/image/pedidosya/products/9e0551c4-b752-450f-8f7f-da3a0c1d1eec.jpg;87763728;;;;3
Minutas;977182;;;Chorriana de carne individual;6600.0;;;Carne, papas fritas, huevo frito, salchicha, longaniza, cebolla frita.;;88349906;;;;3
Minutas;977182;;;Chorrillana carne dos personas;13200.0;;;Carne, papas fritas, cebolla frita, salchicha, longaniza, huevo frito.;;88350900;;;;2
Minutas;977182;;;Chorrillana carne 4 personas;17500.0;;;Carne, papas fritas, huevo, cebolla frita, salchicha, longaniza.;;88350935;;;;5
JULIO CON DESCUENTOS;4875294;;;Chorrillana carne (grande);7665.0;;;Carne, papas fritas, salchicha, longaniza, cebolla frita, huevo frito o revuelto.;;88890639;;;;1
JULIO CON DESCUENTOS;4875294;;;Sándwich grande Super Ñam;7630.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;https://images.deliveryhero.io/image/pedidosya/products/c195cbf0-4928-4799-8fff-5da05c55ebbb.jpg;88890640;;;;2
GOLAZOS DE PEDIDOSYA AGOSTO;4957460;;;Sándwich grande italiano;6230.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;90040239;;;;1
GOLAZOS DE PEDIDOSYA AGOSTO;4957460;;;Sándwich grande Super Ñam;7630.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;https://images.deliveryhero.io/image/pedidosya/products/1f2b99ec-47e9-4aee-8155-8334d8452594.jpg;90041305;;;;2
PARA PASAR AGOSTO;5002693;;;Sándwich grande Super Ñam;7630.0;;;Carne, tomate, palta, queso, champiñon, choclo, mayo casera, tocino, salsa barbacoa, cebolla frita. Recomendable.;https://images.deliveryhero.io/image/pedidosya/products/7426e648-231b-438b-872c-58ef2fb9ae07.jpg;90671260;;;;1
PARA PASAR AGOSTO;5002693;;;Sándwich grande italiano;6230.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;90672847;;;;2
Combos;976894;;;Sandwich individual, aros de cebolla y bebida;7950.0;;;Churrasco italiano individual, 5 aritos de cebolla, más una bebida mini 220 cc.;;90847905;;;;1
Agosto 2x;5093958;;;2 Combo 13;8820.0;;;Completo o italiano gigante, más papas fritas más bebida mini ccu.;https://images.deliveryhero.io/image/pedidosya/products/69d890c2-4565-477a-8cd8-339482b48d5e.jpg;91867138;;;;1
LO RICO DEL 18 2022;5167120;;;Sándwich grande italiano;6230.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;92648325;;;;1
GOLAZOS DE PEDIDOSYA SEPTIEMBRE;5242884;;;Sándwich grande italiano;6230.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;93409376;;;;1
Combos;976894;;;Combo 1;4600.0;;;Completo o italiano mediano + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/cc36d4fe-2b99-43da-b432-d0406d70d440.jpg;9452935;;;;2
Combos;976894;;;Combo 2;5950.0;;;Completo o italiano grande + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/6a89e489-7dd7-43b9-bfeb-45b49bad632c.jpg;9452941;;;;3
Combos;976894;;;Combo 3;5200.0;;;Sándwich completo Ñam mediano + bebida 250 ml.;;9452948;;;;4
Combos;976894;;;Combo 4;8950.0;;;Sándwich de churrasco italiano mediano + papas fritas + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/e84e7030-7533-47ed-9098-26e2ea92844e.jpg;9453016;;;;5
Combos;976894;;;Combo 5;16500.0;;;Sándwich  de churrasco italiano o completo grande + papas fritas medianas + bebida 1.5 L.;https://images.deliveryhero.io/image/pedidosya/products/b5fe055d-77d5-4f58-86f9-5574644ca67f.jpg;9453033;;;;16
Combos;976894;;;Combo 6;7700.0;;;Hamburguesa italiana + papas + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/a38a72a9-5f1f-4670-998f-1a25f93bf395.jpg;9453036;;;;6
Combos;976894;;;Combo 7;7800.0;;;Hamburguesa italiana + 3 empanadas de queso (chicas) + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/42375afc-6ad9-421f-886a-2d0205f8ea3c.jpg;9453040;;;;7
Combos;976894;;;Combo 8;7900.0;;;Hamburguesa italiana + 5 nuggets + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/1122f4e1-c00e-4773-b515-c792a872b5af.jpg;9453047;;;;8
Combos;976894;;;Combo 9;14900.0;;;Chorrillana para 2 personas + 2 bebidas 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/d74cf29c-cafd-492b-8ea9-ec993ccf10f5.jpg;9453059;;;;9
Combos;976894;;;Combo 10;16900.0;;;Chorrillana para 3 o 4 personas + bebida 1.5 L.;https://images.deliveryhero.io/image/pedidosya/products/c8390286-b611-45af-b63f-bb7954892c8b.jpg;9453067;;;;10
Combos;976894;;;Combo 11;5990.0;;;Fajita + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/e43aa47c-ff21-4866-b94e-c406e472ac97.jpg;9453069;;;;11
Combos;976894;;;Combo 12;4000.0;;;Empanada de queso + bebida 250 ml.;https://images.deliveryhero.io/image/pedidosya/products/04e558b9-65c5-4806-b07d-1edd28ecffb4.jpg;9453075;;;;12
Completos medianos;976939;;;Completo mediano italiano;4000.0;;;Carne a elección, tomate, palta y mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/6923998d-0aea-47dc-a1d5-e8e68691a56a.jpg;9453163;;;;8
Completos medianos;976939;;;Completo mediano gringo;4400.0;;;Carne a elección, tomate, pepinillo, lechuga, cebolla y mayonesa.;;9453166;;;;9
Completos medianos;976939;;;Completo mediano rodeo;4500.0;;;Carne a elección, salsa barbacoa, tocino, queso y tomate.;;9453170;;;;1
Completos medianos;976939;;;Completo mediano mexicano;4200.0;;;Carne a elección, guacamole y mayonesa.;;9453182;;;;5
Completos medianos;976939;;;Completo mediano;4200.0;;;Carne a elección, tomate, palta, mayonesa, salsa americana y chucrut.;;9453186;;;;2
Completos medianos;976939;;;Completo mediano chacarero;4200.0;;;Carne a elección, tomate, mayonesa, poroto verde y ají verde.;https://images.deliveryhero.io/image/pedidosya/products/95127e17-8258-487b-ae5a-9152eff9b604.jpg;9453190;;;;6
Completos medianos;976939;;;Completo mediano brasileño;4500.0;;;Carne a elección, queso y palta.;https://images.deliveryhero.io/image/pedidosya/products/dfb70554-d47f-49ec-b30f-cf45f362d52f.jpg;9453198;;;;6
Completos medianos;976939;;;Completo mediano a lo pobre;4500.0;;;Carne a elección, huevo, cebolla frita y queso.;;9453202;;;;7
Completos medianos;976939;;;Completo mediano luco;4300.0;;;Carne a elección y queso.;;9453206;;;;10
Completos medianos;976939;;;Completo mediano Ñam;4100.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa.;;9453210;;;;3
Completos grandes;977084;;;Completo grande italiano;4900.0;;;Carne a elección, tomate, palta y mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/41d081ed-c270-4053-9696-08e98ad554a8.jpg;9453931;;;;1
Completos grandes;977084;;;Completo grande rodeo;5500.0;;;Carne a elección, salsa barbacoa, tocino, queso y tomate.;;9453933;;;;2
Completos grandes;977084;;;Completo grande mexicano;4900.0;;;Carne a elección, guacamole y mayonesa.;;9453934;;;;3
Completos grandes;977084;;;Completo grande;5000.0;;;Carne a elección, tomate, palta, mayonesa casera, salsa americana y chucrut.;;9453935;;;;5
Completos grandes;977084;;;Completo grande chacarero;5000.0;;;Carne a elección, tomate, mayonesa, poroto verde y ají verde.;https://images.deliveryhero.io/image/pedidosya/products/93dd763f-d7c3-41f4-9fc1-36939be752e7.jpg;9453936;;;;6
Completos grandes;977084;;;Completo grande brasileño;5500.0;;;Carne a elección, queso y palta.;https://images.deliveryhero.io/image/pedidosya/products/65eff529-4f1e-4e6f-aedc-ce9ec9d39de3.jpg;9453937;;;;7
Completos grandes;977084;;;Completo grande a lo pobre;5500.0;;;Carne a elección, huevo, cebolla frita y queso.;;9453938;;;;8
Completos grandes;977084;;;Completo grande luco;5200.0;;;Carne a elección y queso.;https://images.deliveryhero.io/image/pedidosya/products/bfcd8693-0370-486d-8a13-4b2a9b6541e3.jpg;9453939;;;;9
Completos grandes;977084;;;Completo grande Ñam;5900.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa.;;9453940;;;;10
Sándwiches medianos;977134;;;Sándwich mediano solo;4500.0;;;Carne a elección.;;9454130;;;;1
Sándwiches medianos;977134;;;Sándwich mediano italiano;6790.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/8fc1e4d9-d5fa-48cc-a622-29a5b668572e.jpg;9454131;;;;4
Sándwiches medianos;977134;;;Sándwich mediano gringo;6990.0;;;Carne a elección, tomate, pepinillo, lechuga, cebolla y mayonesa.;;9454132;;;;5
Sándwiches medianos;977134;;;Sándwich mediano rodeo;7700.0;;;Carne a elección, salsa barbacoa, tocino, queso y tomate.;;9454133;;;;7
Sándwiches medianos;977134;;;Sándwich mediano mexicano;6790.0;;;Carne a elección, guacamole y mayonesa.;;9454134;;;;9
Sándwiches medianos;977134;;;Sándwich mediano completo;6790.0;;;Carne a elección, tomate, palta, mayonesa, salsa americana y chucrut.;https://images.deliveryhero.io/image/pedidosya/products/bf5e4bfa-1fda-41eb-b7aa-258f076d10ef.jpg;9454135;;;;2
Sándwiches medianos;977134;;;Sándwich mediano chacarero;6790.0;;;Carne a elección, tomate, mayonesa, poroto verde y ají verde.;https://images.deliveryhero.io/image/pedidosya/products/e7f6ef16-bba4-4471-8f29-3f6f7d9ef9fb.jpg;9454136;;;;3
Sándwiches medianos;977134;;;Sándwich mediano brasileño;7100.0;;;Carne a elección, queso y palta.;https://images.deliveryhero.io/image/pedidosya/products/ddf1a45a-fee6-420c-bfcc-e384e1d0787a.jpg;9454137;;;;6
Sándwiches medianos;977134;;;Sándwich mediano a lo pobre;7600.0;;;Carne a elección, huevo, cebolla frita y queso.;;9454138;;;;8
Sándwiches medianos;977134;;;Sándwich mediano luco;7300.0;;;Carne a elección y queso.;;9454139;;;;10
Sándwiches medianos;977134;;;Sándwich mediano Ñam;8800.0;;;Carne a elección, tomate, palta, queso, champiñón, choclo y mayonesa.;;9454140;;;;11
Sándwiches grandes;977162;;;Sándwich grande solo;5900.0;;;Carne a elección.;;9454329;;;;1
Sándwiches grandes;977162;;;Sándwich grande italiano;5760.0;;;Churrasco o ave, tomate, palta, mayonesa casera.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;9454330;;;;3
Sándwiches grandes;977162;;;Sándwich grande gringo;9990.0;;;Carne a elección, tomate, pepinillo, lechuga, cebolla y mayonesa.;;9454331;;;;9
Sándwiches grandes;977162;;;Sándwich grande rodeo;10700.0;;;Carne a elección, salsa barbacoa, tocino, queso y tomate.;;9454332;;;;6
Sándwiches grandes;977162;;;Sándwich grande mexicano;9700.0;;;Carne a elección, guacamole y mayonesa.;;9454335;;;;10
